annual_consumption_kwh,price_y_per_kwh,roof_area_m2,shading_factor,capex_y_per_kw,self_use_ratio,pv_kw,payback_period
2333170.343240092,0.9863737376404759,17200.23881424537,0.95,3017.9754133820725,0.8447408062937294,2537.9681472242232,3.2452439776727844
720354.2292650918,1.1541479411729605,1463.5816708626714,0.7,7051.971445959201,0.842757031055493,16.63383785214604,12.83222195426906
2064994.4120652413,1.429905126066335,19356.692702197357,0.85,4537.528383191779,0.4731563834047857,3079.5506157311424,6.3337124157850715
2505166.414115843,1.5169083183703629,7872.071904797454,0.95,4085.8045716163424,0.4408391143460514,818.3515879346575,4.217180523979403
462401.14447658946,0.5160686066271615,13434.378643451339,0.85,5608.798585646538,0.7625669080003841,686.2530336315596,20.181609301910505
740121.4833027552,0.4345389754491457,5771.401062035531,0.85,4114.76566771676,0.712070899021831,130.96195555781614,22.491058041770405
1412537.8292415927,0.5838440795987226,10120.686547046598,0.7,6329.762062927548,0.5976637969627137,1232.5036816791628,24.86417814169599
834316.3863055827,1.7553057471541997,15619.267898522734,0.95,6442.896040374476,0.5269570151993533,421.5486314791582,6.879374138337077
2287632.6130138696,1.3932212861288584,8755.442187547054,0.95,5712.538829020046,0.40488880874092786,889.3693234338974,13.59915122524262
2779104.3492115517,1.1925386525655728,7068.022129789774,0.85,5750.035203147792,0.9730634886069395,799.9994163791032,4.880235818342018
837578.206121086,0.8307750461467007,10509.313568936448,0.7,2618.8664393418176,0.9325045016958484,1738.8680755563196,6.493945539905865
367835.79056989483,1.6782171754495314,4758.23701971864,0.85,2705.7690589689887,0.5910994845105851,332.58942133539847,3.000814801131126
535593.0618669535,0.415120398118877,8814.921788060152,0.7,7404.224964402027,0.9290151190710412,203.69026079187302,25.230363398799398
824258.5219724508,1.7083790682739801,4971.217385112558,0.7,3175.168628263173,0.4496348058059211,731.608605800939,5.3076674196352345
474497.6325261898,0.3702076171768922,4747.1893939773345,0.95,6227.122704870716,0.6791144555534114,155.57419813274942,16.724368891227154
937798.6407537722,1.0584468657597235,13324.711412718932,0.95,7755.927913758334,0.9511254790528176,1763.1497433040986,14.697142548983471
2802418.503720623,1.5163233276388075,9454.155710794772,0.85,2598.1023118734324,0.8891285996737787,846.8532223530104,1.468662555547733
1973196.5254609238,1.6078614160408713,9187.158265110735,0.7,3863.1175962324696,0.8349092821582402,613.9866950075418,4.535092567795034
2766862.893837978,0.5900209979661534,5837.457630291124,0.85,3135.1953501594526,0.38600701595676906,674.682617719104,12.342529088727938
2560838.2991255075,0.4130388399185483,3793.6685100111767,0.95,3802.0967910741783,0.7213012236328022,41.122429609435144,13.62105874759913
342383.76766063273,1.5731836798167418,18072.532249766817,0.95,6911.142341504765,0.7676141293971059,1408.3609247276613,15.62047879050602
836066.7866274959,0.5526641958832375,9661.970025670167,0.7,4792.891527271868,0.5888826765748332,2033.9524140981598,17.120441420567367
1018665.5547638319,1.1263804452535047,17001.497677717765,0.85,6924.155053708926,0.7613964590239535,2415.0191102573563,16.56822048648238
2190861.103400709,0.4725151672941043,18731.608489472397,0.85,3255.7436152079117,0.8705747144553129,484.0486133784914,10.868911097317696
1716604.3038437036,1.1800242453490821,9426.506029028302,0.7,6701.578645036234,0.669899590124029,548.0377957615569,16.314413110150042
2030132.6692603482,0.8337747495759453,17987.65763775841,0.85,6693.926808888587,0.5867248115518351,3541.228825367233,14.710134726639275
2811612.9611734636,1.481437166168619,9691.517369665899,0.95,7926.473497083771,0.9682765290024967,17.621409110646084,5.35987600405517
2484928.5580291473,0.7782705867489303,9279.252019611313,0.85,4932.727698873412,0.9469872320851103,258.30553061693024,8.355196353155494
316800.1446031916,1.6506984284001067,774.1901634484946,0.95,3286.6203134164925,0.4788327476883836,75.1975116409949,4.750375787215659
2555756.086623065,0.4329863132222276,16059.08430210519,0.95,7602.874865947542,0.8037785095861142,1416.6843065466387,24.30021157888829
507878.3277012181,1.4152005833059844,4022.2215192043013,0.95,6404.475835047171,0.7475033438850952,97.36790083359666,5.275660410776276
2941080.179684868,1.0149129315648104,15724.802777159877,0.95,6000.245881592773,0.4443346655322823,542.296214622047,8.883931631404792
1241901.4526852595,1.0375446577497964,2560.5070187153433,0.7,4029.4155017969156,0.6281370888928774,151.19228727051328,8.946727751521554
1284280.130262738,1.037492378880747,4666.738790443377,0.95,5648.518632171636,0.8063014177217414,719.0157411652185,6.679905840634296
1562580.7715899367,1.4182232482992196,17750.777157129414,0.95,5269.981088507046,0.8699157669964938,137.5937616186935,5.445181887654141
1035683.6194795602,0.600841945527811,6415.088722079387,0.7,6584.809116987972,0.8876627259384462,1328.9244957300573,21.991588516167397
2327709.4294960275,0.800894189385111,13815.767973488631,0.95,4633.129323400073,0.35697296923418953,1126.0781279757778,7.568602704811474
2971448.909762504,0.5553140384247233,9075.263142436152,0.7,4659.14993713056,0.8409646123165839,315.523988291608,10.62005876969335
1496082.75008468,1.200345500871454,9967.141521843198,0.95,3840.1709973064244,0.7644326553109984,436.83889403322036,4.334479757791505
1473588.9003325172,1.4645100047160997,17069.907234247148,0.95,5276.353155969239,0.7316305613490374,3210.554276977987,8.442489521788248
573644.4181890541,0.8413406716339272,3993.739591321457,0.95,7601.0325217721465,0.5498977970735109,576.3730688113676,12.059532839301847
2296226.061392823,1.659825414347877,14469.779745023361,0.95,7797.661729521587,0.9134209348702522,2970.389036702316,6.054649676488481
2214572.8174418528,1.4374761300061394,7060.558653998366,0.95,2725.2082815714584,0.6683048321809888,729.3325475210212,2.167159920280759
2777869.9182986715,1.5427454813952761,932.0203985832496,0.95,4549.862877187038,0.4210334892244627,12.746499402046515,4.503174633200929
1884598.431456975,1.5942816917059939,289.1024738052506,0.7,6225.080696504185,0.6108811124097021,22.864403325872647,7.873598545359531
1220973.1998561106,0.7484963235948472,17753.83973100301,0.85,3531.765250667202,0.5722525100546793,1709.1233350613336,8.750487171711368
1207488.8241192922,1.6771832024140547,10038.948603380919,0.85,4509.581547595234,0.481286374497708,1320.756258155879,4.9562469952683035
889395.5815798845,1.6506453582208431,4854.922914237058,0.95,4289.385017841723,0.694202335935297,127.55243821179005,4.618506603905647
1706393.7135224347,1.4983629164549925,15719.717365639128,0.85,5119.415197226991,0.7884883600363657,1536.0987913804147,4.572454060810362
1562559.5896853283,0.9778101146582625,909.6864780796309,0.85,7778.759872810712,0.3767014106481505,21.453989658663463,24.99145681881797
228558.92993828157,1.3623751021343744,4299.006722191277,0.7,4667.6917744795355,0.35107945998862033,373.84735219179646,11.89812656778733
2531550.9333341215,0.7275053879521126,6585.310731161051,0.95,3833.65569165583,0.7941179324782284,127.44340283619273,6.225898794284391
457705.8463336657,1.6822936306194904,383.3436800582436,0.7,2672.059320959045,0.7530970363083926,61.117298023262315,3.707474552622498
2330165.2949990877,1.5904627355963497,5234.416978332315,0.95,7553.365244964745,0.742225895316659,194.37686776448908,5.11313425304731
987025.121372507,0.4632571699665276,790.7284479740101,0.7,2604.687812996176,0.8213691585530647,30.67640983568687,8.210720865300177
560184.6125041302,1.0855744172939628,19837.134623388472,0.85,2522.041826033367,0.9955049782548292,1414.3972491349648,4.490864535441911
1803974.44622805,0.7773950301440065,13339.696723874968,0.7,2599.8829915290025,0.5003323507964539,2019.5208980702812,7.669222797258918
2287345.5996950245,1.7759547601897596,8501.593280435942,0.7,5330.206785370419,0.8674185616017459,334.00738344879414,4.435741300534263
576403.1973744011,0.639335889704261,17207.860639042734,0.7,3666.8107413781577,0.8267716879658393,2341.1936812615986,12.160461018584364
2716721.2080902182,1.6050801820154912,16002.329229202995,0.7,3049.243624384012,0.8333402373199738,1201.253353045717,2.7710858556329763
1763918.6525567495,0.9432529675559559,12115.140166180627,0.85,5072.021411446281,0.5951838888739525,678.1471379486887,8.617506234995684
2272838.460850761,1.6275022752809116,5706.64446605546,0.7,3611.484559050129,0.689307995888233,557.6665933558444,2.7143854358545094
794687.0571212824,0.777422226883087,15343.11034162324,0.95,7459.030194615411,0.988538344017946,2189.590469243412,24.8750444915806
1649974.9867915045,0.5897014188825722,5214.458393123908,0.7,3381.716137402419,0.7297481090397918,200.06027572717682,8.17007409744212
405933.24545887485,1.6493770195142643,2187.8337838662237,0.85,7155.631948373763,0.6188191553514804,298.03874341110105,6.048344720229013
772149.679572929,0.58381839113529,18812.37641398879,0.95,7383.93855733069,0.6864799888370239,3395.3050265056354,25.174796130332076
2861956.2984703076,0.5871864726796595,11177.447730390684,0.7,3892.5153336963085,0.4273196519811373,407.66821685845883,15.183481688347095
2464008.2126763957,1.4253412174606974,9481.434080876259,0.95,3340.824171694848,0.5719015937981229,442.1707201544077,3.0201091146503036
1342069.3286150992,1.2765697914330387,245.71369721749164,0.85,4044.930122802853,0.647870326998734,32.90346503861096,4.053685159573243
1996856.3383313725,1.2195582672381862,9561.122660628163,0.7,7725.336020434404,0.46520307581202713,1820.147574580321,12.26751898717255
1996987.3704633962,0.7885964076499958,18961.204873386647,0.7,6561.8089197764575,0.7151823045409496,1448.49370382563,14.609139874338597
421130.70402124146,0.48299933463555966,13416.300478305808,0.85,6105.3475608867875,0.36284818947274955,448.12858845770495,24.958922424168065
459030.7638885876,0.7611051115688824,13559.783637515702,0.7,3613.8732435830225,0.805904215808231,1193.3097669023075,9.995015272259858
118521.36792293751,0.9300890968953953,17527.13074378573,0.7,5856.250944382852,0.9583593746332218,849.8296941619227,24.919350613464548
2775429.7735205935,1.5728181843548699,19568.447729138315,0.95,6705.669757090998,0.6623949601124992,1334.6977510899783,7.470147272452664
2457365.249420852,1.5978263829768453,3520.450489620063,0.7,2541.288680399999,0.8683820431924891,94.7198917529301,2.4514245804656283
1297260.9810130408,1.2485193626562991,18671.435491782413,0.95,2883.0235012526705,0.863979683032396,1090.9504111193899,1.958690622591532
1527260.1397868209,1.344936227641968,13123.197350411254,0.7,7956.231030404302,0.6856986117131666,116.29086026484565,13.282640327501559
1092346.2004519799,1.4918226182156782,16675.977490583326,0.7,4791.662989219341,0.8367335067835857,367.01838662093957,4.062314365001065
249179.5165528743,0.42657029703016003,210.2711344809693,0.7,4899.7416283184475,0.3726449276819452,16.722833139263425,19.33431991317961
323630.42840225954,0.9219982010111939,14808.391610906183,0.85,6637.80902938454,0.8376728921663514,196.15663834684128,8.29442336724021
